temiz_metin,duygu_sinifi,duygu_skoru
İnternet sitemiz şimdi yayında!,positive,0.9920145273208618
"Altay Cem Meriç:

Türkiye'de kimse dindar gözükmek istemiyor. Çünkü hacı-hoca olarak algılandığınız anda hayatınızın her zerresine karışılabiliyor.",negative,0.9784064292907715
Dawkins videolarında İlk Neden Argümanını anlattığın zaman otomatikman ''Allahı kim yarattı?'' sorusuna da cevap vermiştin zaten abi. Videonun sonunda dediğin gibi argümanı doğru düzgün anlayan neredeyse kimse olmadığı için bu itirazı hala güçlüymüş gibi sunuyorlar.,negative,0.9699689745903015
"“Ama amaç “bilimi itibarsızlaştıralım, böylelikle evrimi de reddedebiliriz!” olduğu için yaptığın bu ucuz manipülasyonu görmezden geliyorum.”

Ahahah. Biri Beyza’ya Evrim bilmediğini söylesin lütfen. 

Ben Evrim’in biyolojisi hakkında yıllardır konuşmam. Felsefi ve dini yönü",negative,0.9978395700454712
"Bu güzel bir ders olsun.

Gebze kitap fuarına sokak köpekleri ile ilgili bir mevzudan dolayı sanırım katılmıyorlarmış. Yanlış biliyor olabilirim ancak konu önemli değil. Tepkilerinde haklı da olabilirler, nazara vermeye çalıştığım nokta burası değil.

Yıllardır Tüyap kitap",positive,0.788234531879425
Hayat bitti...O kadar selefileri eleştirdik yapay zekada tık yok. Neyse her erkek evlat içinde babasını taşır edit.,negative,0.9872487187385559
"Bu ümmetin moğol istilasında dahi böyle bir acziyet yaşadığını sanmıyorum. Osmanlı en çürümüş haliyle dahi ne büyük bir canavar sürüsü önünde engelmiş. İnsan şaşırıyor.

100 yılı geçti Akif şunu yazalı :

''Maske yırtılmasa hâlâ bize âfetti o yüz...
Medeniyyet denilen kahbe,",negative,0.9926925897598267
Oy vermek şirk midir ? || Yusuf asAyrıcalıklardan yararlanmak için bu kanala katılın:https://www.youtube.com/channel/UCqJafeVIno1uSkmuWZtGKRw/joinAbone Ol ➦ ...,negative,0.9279619455337524
Allahuekber ve lillahil hamd,positive,0.8890306949615479
"Celal Şengör:

“Türkler ahlaktan yoksun, cahil ve gerizekalıdır.”",negative,0.9991180300712585
Pırasanın yenilmesi için yaratıldığı konusunda ciddi şüphelerim var. Bence insanlığın pırasa yer hale gelmesi bir çeşit fıtrattan sapma.,negative,0.9978469610214233
"Boğaziçi’nde bilim bitmemiş, cuma günü sorunu çözeceğiz inşallah.",negative,0.9950036406517029
Bu alıntıyı değil aşağıdaki twiti rt yapacaksınız. Çekiliş ondan olacak.,positive,0.9697631001472473
"Gençlik Komiteleri hareketi kurarken de, bitirirken de doğru olanı yapmıştır.
İradeyi koyanlar, Filistin için cezaevine giren genç yoldaşlarımızdır.
HTŞ ile heyecanlanan, umutlananlar Filistin’in düşmanlarıdır!
Kürtler, Aleviler, Sünni yoksullarda heyecan yok korku, kaygı var..",negative,0.9165806174278259
Beşar Esed’i münazaraya davet ediyorum. Yer6 dahil.,negative,0.9511539340019226
"İran'ın Suriye'den öğrendiği en önemli şey : 

Saldırıdan önce haber vermeyince daha etkili olabiliyormuş.",positive,0.8399627208709717
"Alttaki görseli kırpmasaydın araştırmacıların çeşitli sebepler derken nelerden bahsettiğini millet de görmüş olurdu. 

Dahil edilmeyen 111 çalışmanın 44'ü cinsel azınlık ebeveynligiyle alakalı değil örneğin, 4'ü aynı veri seti vs. diye tek tek açıklanmış.

Ama amaç “bilimi",negative,0.9942060112953186
"Bakalım şaka yolu ile küfür kelimelerini telaffuz etmeyi ümmet nasıl anlamış:

1- ""Onların söyledikleri bu sözler, ciddi de olabilirdi, şaka da olabilirdi. Ancak ne olursa olsun bu sözleri söylemek küfürdür. Çünkü küfür sözünü şaka yollu söylemenin de küfür olduğu hususunda ÜMMET x.com/AltayCemMeric/…",negative,0.8469818234443665
"Sabahtan beri kafam şuralarda. Tekbir, ilahi, video vs ile atın da neşemiz daim olsun. Arşivleri boşaltın.",negative,0.9993901252746582
Muhalifler Esed'le temas kurmaya çalışmışlar ancak maalesef ulaşamamışlar.,negative,0.9903548955917358
"Haricilerin alameti ''ben Muhammed'in düşmanıyım'' diyen kimseler hakkındaki ayetleri, ''anam babam sana feda olsun ya Rasulallah'' diyen insanlara okuyup tekfir etmeleridir.

Buharide geçen rivayette :
وكان ابن عمر يراهم شرار خلق الله، وقال: إنهم انطلقوا إلى آيات نزلت في الكفار،",negative,0.9017953872680664
Türkiye’nin en büyük aydını entelektüeli,positive,0.9503074288368225
"Haha. Geleneksel iftira ve mal beyanı açıklama sürecimiz tekrar başlamış. Bir yazıya bu kadar yalanı ancak muhteris kelin maşa olarak kullandığı bir 19cu sığdırabilirdi.  

Size söylemiştim “19 bitti” diye. Bak beni karalamaktan başka pek bir vasfınız kalmadı. Her batıl gibi yok",negative,0.9940221905708313
"Hoca hakkındaki analiz videosunun analizini sunmak istiyorum..!!

A-CEM'i Meriç'in yapmış olduğu analizi,sap ile samanı bir birine karıştırmış olduğunu, güya kendince felsefik söylemle kendisine verilecek her cevaba",negative,0.9965724945068359
"Suriye'nin emperyal güçlerce işgalinin karşısında, Filistin direnişinin ve halkların yanındayız.

Yazımına",positive,0.7839400172233582
"Delil getirmeyi nasıl da bilmiyorlar ama..

Bu ayetin hakkında nazil olduğu iddia edilen sahabilerin tekfir edildiğine ve size göre olan irtidat hükümlerinin uygulandığına dair delilleri getirir misiniz ?

Öyle vaaz dinlemekle kelamcılık ve fıkıhçılık yaptığınızı zannediyorsunuz",negative,0.7448136806488037
"Olm bunların sürekli müslüman gördükleri tipleri linçletme çabasına ayar oluyorum. Sana anlayacağın dilde anlatayım ki, sen bile anla. 

Bak muhbir isimli b.k müsveddesi :

Bir çocuğa ''bu senin özel bölgen buraya kimse bakamaz'' algısını vermezsen, Allah korusun çocuk istismar",negative,0.9966817498207092
"Şöyle özetleyeyim ;

1-Esed denen zalim deccal devrildi. Başka hiçbir şey olmasa bu sevinmeye yeter.

2-İran’ın en önemli proxy’si kırıldı. Şii Hilaline göbeğinden dalmış olduk. Bir daha kendilerini toplayabileceklerini sanmıyorum.

3-İsrail’in emniyet subabı olan kukla",negative,0.9925315976142883
