temiz_metin,duygu_sinifi,duygu_skoru
Ali Yerlikaya Ali Yerlikaya @AliYerlikaya · 7 7 7 44 44 44 241 241 241 21 21 21,positive,0.7004116773605347
Şırnak'ta gerçekleştirdiğimiz Türkiye’nin Huzuru Toplantısı’nda Basın Açıklamamızı gerçekleştiriyoruz. Şırnak #CanlıYayın,positive,0.9838683605194092
AK Parti TBMM Grup Toplantısı https:// PlKQbDgowqGE …,positive,0.6286572217941284
"Şırnak’ta terör silindikçe yaylalar özgürleşiyor, turizm canlanıyor, Gabar’da yeni petrol kuyuları açılıyor. Terör bittikçe istihdam artıyor, bereket geliyor.

İşte bunu Cumhurbaşkanımız Sayın 
@RTErdogan
’ın güçlü vizyonu ve kahraman güvenlik güçlerimizin sarsılmaz iradesiyle",positive,0.9100813269615173
"2024 yılı içerisinde Emniyet ve Jandarma Trafik ekiplerimizce; Şehirlerarası Yolcu Taşımacılığı Yapan Otobüs cinsi araçlarla ilgili toplam: 2 milyon 376 bin 21 adet denetim, 447 bin 978 sürücüye/araca ise işlem yapıldı Ayrıca 2024 yılında şehirlerarası yolcu",NEUTRAL,0.5489128232002258
"Milletimizin başı sağ olsun 

Pençe-Kilit operasyonu bölgesinde çıkan çatışmada Şehit olan Kahraman P. Komd. Bnb. Murat Kemal YETİŞEN’e Allah'tan rahmet, kederli ailesine, Türk Silahlı Kuvvetlerimize ve Milletimize baş sağlığı diliyorum. 

Makamı âli olsun",negative,0.9780519604682922
"Mardin’de K.K.’nin elebaşılığını yaptığı Silah ve Mühimmat Kaçakçılığı yapan Organize Suç Örgütüne yönelik Jandarma tarafından düzenlenen ""HÜCRE-13"" operasyonunda; 30 adet Ruhsatsız Tabanca, 21 adet  AK-47 Kalaşnikof Tüfeği, 3 adet G-3 Piyade Tüfeği, 2 adet M-16",negative,0.8241322636604309
Ali Yerlikaya Ali Yerlikaya @AliYerlikaya · 14 14 14 34 34 34 175 175 175 33 B 33 B 33 B,NEUTRAL,0.5827273726463318
"Cumhurbaşkanımız Sayın @RTErdogan :

""Marjinal örgütlerin ve şehir eşkıyalarının saldırıları sebebiyle beş günde 123 güvenlik görevlimiz yaralanmıştır. Kendilerine bir kez daha geçmiş olsun dileklerimi iletiyorum.

Her türlü provokasyona rağmen sabırla ve soğukkanlılıkla",negative,0.930755078792572
"Kurulduğu 14 Ağustos 2001 tarihinden itibaren @Akparti ’miz Aziz Milletimizle beraber kutlu bir yolculuğa çıktı. 

Bu yolda durup dinlenmek yoktu. Vesayet odaklarına boyun eğmek yoktu. Uçsuz bucaksız semalarda, Mavi Vatan’da, Kara Vatan’da yerli ve milli teknolojilerimizle boy",positive,0.9969606995582581
"Mardin’de K.K.’nin elebaşılığını yaptığı Silah ve Mühimmat Kaçakçılığı yapan Organize Suç Örgütüne yönelik Jandarma tarafından düzenlenen ""HÜCRE-13"" operasyonunda;
 30 adet Ruhsatsız Tabanca, 
 21 adet  AK-47 Kalaşnikof Tüfeği, 
 3 adet G-3 Piyade Tüfeği, 
 2 adet M-16",negative,0.8241322636604309
"Ticaret Bakanlığımız Gümrükler Muhafaza NARKOKİM ekiplerini İstanbul Havalimanı’nda yürüttükleri başarılı operasyon dolayısıyla tebrik ediyorum.

Zehir tacirlerine göz açtırmayacağız.

#TürkiyeninHuzuru",positive,0.8597733378410339
"Türkiye Yüzyılı’nda Türkiye’nin Göç Yönetimi Modeli Programı’nın hayırlara vesile olmasını diliyorum.

Panele iştirak eden tüm bürokratlarımıza, akademisyenlerimize ve alanında uzman isimlere katkılarından dolayı teşekkür ediyorum.",negative,0.6439529061317444
"“10 ilde 11 ayrı organize suç örgütüne yönelik yaptığımız operasyonlarda 86 TUTUKLAMA""
 İstanbul’da T.B. (tutuklandı) ve S.G’nin (yurt dışı firar) (2 ayrı örgüt),
 Diyarbakır’da Ş.T.’nin (tutuklandı),
 Ankara’da R.A.’nın (tutuklandı),
 Gaziantep’te S.Y.’nin (tutuklandı),",negative,0.702182412147522
"Cumhurbaşkanımız Sayın @RTErdogan :

“Şimdi de bir yandan gençleri sokağa çağırıyor, kışkırtıyor, küfrettiriyor, polise saldırtıyorsunuz. Sonra utanmadan timsah gözyaşları döküyorsunuz.

Kusura bakmayın ama bu ülkenin gençlerini size yedirtmeyeceğiz, kullandırtmayacağız!""",negative,0.7445808053016663
"Ramazan Bayramı tatilinin 7. günü (Cuma) 580 trafik kazası meydana geldi. Maalesef 
 5 vatandaşımız hayatını kaybetti, 
 855 vatandaşımız ise yaralandı. 

Bayram tatilinin ilk 7 gününde (Cumartesi, Pazar, Pazartesi, Salı, Çarşamba, Perşembe ve Cuma) maalesef 
 62",negative,0.9963186979293823
"2024 Yılında yakalama kararı olan ve aranan 197.940 şüpheli bizden kaçamadı 2024 yılı içerisinde (1 Ocak-31 Aralık 2024) ""Mahkemelerimizce Yakalama Kararı Verilen ve Aranan Şahıslara” yönelik düzenlenen operasyonlarda; 0-5 yıldır aranmakta olan 195.790 şahıs, 5-10",positive,0.8958016037940979
"17 ilde DEAŞ Terör Örgütüne yönelik son 1 hafta içinde Jandarma tarafından düzenlenen “GÜRZ-35"" operasyonlarında; 42 şüpheli terör örgütü mensubu yakalandı

Terörü ülkemizden topyekün bir mücadeleyle söküp atmaya kararlıyız. Teröre karşı birlik, beraberlik, kardeşlik  ve",positive,0.931411623954773
"Hangi ülkeye kaçarlarsa kaçsınlar, bizden kaçamayacaklar. Bir bir geri getireceğiz

 Kırmızı Bültenle Uluslararası Seviyede aranan Ş.Ç. Almanya'da ve Ö.A. Kosova'da, Ulusal seviyede aranan M.G. ve S.E.Ö. isimli şahıslar Gürcistan’da yakalanıp ülkemize iade edildi.

Emniyet",positive,0.8844691514968872
Ali Yerlikaya Ali Yerlikaya @AliYerlikaya · 7 7 7 74 74 74 272 272 272 36 B 36 B 36 B,negative,0.7961529493331909
"10 Nisan Polis Haftası’nda Emniyet mensuplarımız ile bir aradayız.
Ankara #CanlıYayın",positive,0.9572232961654663
"24 ilde DEAŞ Terör Örgütüne yönelik Emniyetimiz ve Jandarmamız tarafından son 1 haftadır devam eden “GÜRZ-41"" ve “GÜRZ-42” operasyonlarımızda; 100 şüpheli Terör Örgütü mensubu yakalandı. 

Tüm Terör odaklarına karşı “Terörü kaynağında yok etme” stratejimizle; Emniyetimiz,",positive,0.8330816030502319
Ali Yerlikaya Ali Yerlikaya @AliYerlikaya · 5 5 5 34 34 34 227 227 227 36 B 36 B 36 B,negative,0.7728875875473022
"Emniyet Genel Müdürlüğü 2025 Yılı Genel Atama programındayız.
Ankara #CanlıYayın",positive,0.7628315091133118
"Sevgili Kaymakamım…
Hem çocukken hem de kaymakam olduktan sonra ettiğin dua bu soğuk kış gününde içimizi ısıttı.

Evet, yol uzar, insan yol almaya devam eder…

Bu yolda ilerlemeye devam",positive,0.9557360410690308
"Cumhurbaşkanımız Sayın 
@RTErdogan
 

“Bir yandan ülkemiz sathında huzur ve asayişi sağlarken, diğer yandan da suçun ve suçlunun her türlüsü ile cansiperane mücadele ediyorsunuz. 

Milletimizin huzur içinde yaşaması için gece gündüz fedakârca gayret sarf ediyorsunuz.",positive,0.9561603665351868
"Ülke genelinde göçmen kaçakçılığı organizatörleri ve düzensiz göçe yönelik dün (21 Mayıs) düzenlediğimiz denetim ve operasyonlarda;
432 bin 630 kişinin kimlik kontrolü yapıldı.
 27’si yabancı uyruklu olmak üzere toplam 49 göçmen kaçakçılığı organizatörü ve
509 düzensiz",negative,0.9257820844650269
"Cumhurbaşkanımız Sayın 
@RtErdogan
'ın tensipleriyle;

Milli Güvenlik Kurulu Genel Sekreterliğine atanan AFAD Başkanı Sayın Okay Memiş'e, 

AFAD Başkanlığına atanan Mersin Valisi Sayın Ali Hamza Pehlivan'a, 

Mersin Valiliğine atanan Göç İdaresi Başkanı Sayın Atilla Toros’a ve",negative,0.8785902857780457
"Şırnak Valiliğim döneminde şehit ailelerimiz için bir binayı tahsis etmiştik. Binada 11 şehit ailemiz kalıyor. Şırnak ziyaretimiz sırasında şehit ailelerimizle buluştuk; eski günleri yad ettik. 

7 çocuk annesi şehit eşi Güli Güngör ile eski fotoğraflara bakıp, o günleri",NEUTRAL,0.5761987566947937
