Sira,Kelime,Frekans
1,ali,221
2,yerlikaya,210
3,sayın,207
4,yönelik,150
5,şüpheli,134
6,yakalandı,118
7,aliyerlikaya,109
8,cumhurbaşkanımız,102
9,rterdogan,96
10,bin,90
11,trafik,86
12,terör,78
13,tarafından,76
14,operasyonlarda,76
15,emniyet,71
16,ilde,69
17,milletimizin,67
18,suç,64
19,devam,63
20,uyuşturucu,63
21,genel,60
22,düzenlediğimiz,58
23,canlıyayın,57
24,düzenlenen,57
25,jandarma,54
26,örgütü,53
27,ilgili,50
28,adet,50
29,olsun,50
30,i̇stanbul,49
31,organize,48
32,ele,48
33,büyük,48
34,türkiye,46
35,i̇l,45
36,eden,44
37,dışı,44
38,madde,44
39,örgütüne,43
40,yaptığı,42
41,son,41
42,parti,40
43,meydana,40
44,ayrı,39
45,polis,39
46,’ın,38
47,yurt,38
48,müdürlüğü,38
49,operasyonlarında,36
50,elebaşılığını,35
51,göçmen,34
52,ediyorum,33
53,konya,32
54,toplam,31
55,vatandaşımız,31
56,kıymetli,31
57,yapan,30
58,türk,30
59,günü,30
60,milyon,29
61,geçirildi,29
62,olağan,29
63,ülkemizin,29
64,gelen,29
65,işlem,28
66,i̇stanbul’da,28
67,ramazan,28
68,ilk,28
69,aranan,28
70,emniyetimiz,28
71,basın,27
72,kahraman,27
73,hayatını,27
74,kararı,27
75,ankara,27
76,haftadır,27
77,merkezli,27
78,yapılan,27
79,yapıldı,26
80,göç,26
81,içinde,26
82,mensubu,26
83,afad,26
84,tutuklandi,26
85,sonucu,25
86,cumhuriyet,25
87,yıl,25
88,sosyal,25
89,adli,25
90,ediyor,25
91,gerçekleştiriyoruz,24
92,güvenlik,24
93,diliyorum,24
94,maalesef,24
95,hafta,24
96,hakkında,24
97,i̇çişleri,24
98,ülkemize,23
99,bakanımız,23
100,arasında,23
