temiz_metin,duygu_sinifi,duygu_skoru
Sean Strickland'in son hali.,positive,0.9879124760627747
on Saturday!,positive,0.9937738180160522
"kartında gecenin maçı

Alonzo Menifield",positive,0.9364581108093262
40 yaşındaki Josh Emmet,negative,0.8516340255737305
#UFC305,positive,0.9340945482254028
YAYIN BAŞLADI!,positive,0.9581645727157593
"Şampiyon Alexandre Pantoja, koruduğu kemerleriyle",positive,0.9935945868492126
"kart değerlendirmesi, taraf bildirimi, Emre’nin yalanları ve daha fazlası…",negative,0.9109772443771362
Ion Cutelaba ilk rauntta İbo Aslan'ı pes ettirmeyi başardı.,negative,0.6237374544143677
Jon Jones,positive,0.9216299653053284
Alex  Pereira ve Magomed Ankalaev ilk defa yüzleşti!,positive,0.9897645711898804
"Bogdan Grad, ikinci rauntta teknik nakavt ile Lucas Alexander karşısında galibiyete ulaşıyor. Böylelikle UFC başlangıcında galibiyete ulaşıyor",positive,0.9682008028030396
Ana Kart,NEUTRAL,0.5217427015304565
kartında Justin Gaethje ile olan maçtan çekildiği söyleniyor.,negative,0.8903018236160278
"Ana kart nakavtla başladı!

Sam Patterson ilk rauntta Danny Barlow’u nakavt ediyor!",positive,0.757381796836853
"Justin Gaethje: ""Sanırım bunun nedeni benim son dövüşte çok fena nakavt olmam.""",negative,0.9271593689918518
36 basketbolcu,NEUTRAL,0.5257005095481873
Alex Pereira’nın eski kız arkadaşı,NEUTRAL,0.5374356508255005
"belkide yılın maçlarından birinde Rongzhu, Kody Steeleöi hakemlerin ortak kararıyla mağlup etmeyi başardı.",negative,0.8669950366020203
"Sportico, dünyanın en yüksek kazanç sağlayan 100 sporcusunu yayınladı:",positive,0.9928469061851501
Carlos Prates basın toplantısında muhabirlerden sigara istiyor.,NEUTRAL,0.503490149974823
teşekkürler,positive,0.9723026156425476
Bu akşam 21.30 Youtube'da Canlı Yayın!,positive,0.9946321249008179
Julianna Pena vs. Amanda Nunes,negative,0.8966982960700989
kartından,NEUTRAL,0.5379483103752136
"Islam Dulatov, Instagramdan gelen Messi mi Ronaldo mu sorusuna",NEUTRAL,0.5912584662437439
kartı yanıyor!,negative,0.9961152076721191
Alex Pereira ve Diego Lopes bir arada,positive,0.9787889719009399
Alandayız!,positive,0.9431841373443604
Fighting Nerds şimdilik UFC'de 17-0,NEUTRAL,0.5408335328102112
",",negative,0.9130839109420776
Mauricio Ruffy’nin nakavtına bu açıdan bakalım,positive,0.7995498776435852
11 beyzbol oyuncusu,positive,0.866277813911438
Alex Pereira'nın,positive,0.8914861083030701
BİR NAKAVT DAHA!,positive,0.6888944506645203
"Dana White, UFC'nin Rusya'ya dönmesi için  Donald Trump ve Vladimir Putin'in ""önce bir şeyleri çözmeleri"" gerektiğini söylüyor.",positive,0.6976221799850464
Colby Covington ve Robert Whittaker Alex Pereira'nın kazanacağını düşünüyor.,positive,0.8936266899108887
"Colby Thicknesse ve Aleksandre Topuria yüzleşmesi.

Thicknesse'nin köşesinde Volkanovski, Alekaandre'nin köşesinde ise Ilia Topuria olacak.",positive,0.9456828832626343
"Tabiki UFC bahisleri, biraz İbo Aslan ve goy goy!",positive,0.9635448455810547
Daniel Cormier'in 2025 yılında görmek istediği rövanşlar:,positive,0.9928144812583923
"GFL Tony Ferguson vs. Dilon Danis maçını resmi olarak açıkladı.

Tarih ve lokasyon ilerleyen günlerde açıklanacak",positive,0.8876949548721313
öncesi Diego Lopes,positive,0.9461645483970642
6 boksör (Jake Paul dahil),positive,0.9376083016395569
UFC Europe İbo Aslan paylaşmaya devam ediyor!,positive,0.9987096786499023
Leon Edwards'ın,positive,0.8150429725646973
Cody Gibson,positive,0.8362153768539429
"Nasrat Haqparast ayrık kararla (29-28, 28-29, 29-28) Esteban Ribovics karşısında galibiyete ulaşıyor!

Sırada yan ana maç var!

Cody Brundage",positive,0.9574152231216431
Alt kart bar kavgasıyla başladı,negative,0.9972676038742065
"Melquizael Costa, Fili'yi ilk rauntta giyotin ile bitirdi.",negative,0.9370021224021912
Link:,positive,0.9961426854133606
"Alex Pereira'nın rakiplerine karşı kafes içerisinde geçirdiği zaman.

via:",positive,0.9841737747192383
Şampiyon Dricus Du Plessis basın konferansına böyle geldi,positive,0.9873356223106384
Shavkat sakatlık yüzünden kemer maçına çıkamıyor.,negative,0.9604955315589905
Alex Pereira ve Ilia Topuria,NEUTRAL,0.5088769197463989
"Alt kartın üçüncü maçında Jasmine Jasudavicius, ortak kararla (30-27, 30-27, 30-27) galibiyete ulaşıyor. Dominasyon.",positive,0.9749436378479004
"Henry Cejudo’nun yüzleşmelerde yaptıkları.

Bakalım Triple C bu hafta neler planlıyor",positive,0.9312292337417603
Meksika: 20,NEUTRAL,0.5613795518875122
