Sira,Kelime,Frekans
1,ufc,58
2,alex,52
3,i̇bo,35
4,pereira,35
5,ilk,33
6,aslan,28
7,nakavt,27
8,ana,27
9,sean,22
10,rauntta,22
11,son,21
12,kartında,21
13,magomed,21
14,ankalaev,21
15,ediyor,20
16,maç,20
17,sizce,19
18,kararla,18
19,maçı,17
20,şampiyon,17
21,ortak,16
22,dana,15
23,topuria,15
24,yan,15
25,adesanya,15
26,iyi,15
27,justin,14
28,karşı,14
29,silva,14
30,kart,13
31,kartı,13
32,via,13
33,islam,12
34,alt,12
35,fiziev,12
36,jean,12
37,canlı,11
38,maçında,11
39,dövüş,11
40,khamzat,11
41,bahis,11
42,israel,11
43,kazanıyor,11
44,gaethje,10
45,fighting,10
46,zhang,10
47,birlikte,10
48,pes,9
49,pereiranın,9
50,white,9
51,volkanovski,9
52,ilia,9
53,olacak,9
54,devam,9
55,sırada,9
56,dricus,9
57,plessis,9
58,geldi,9
59,kemer,9
60,yeni,9
61,rakibi,9
62,strickland,9
63,paylaşımı,9
64,weili,9
65,merab,9
66,söyledi,9
67,rafael,9
68,hakkında,9
69,eğer,9
70,nakavtla,8
71,benim,8
72,kafese,8
73,siklet,8
74,hafif,8
75,kemeri,8
76,iki,8
77,oldu,8
78,tatiana,8
79,gece,8
80,dövüşü,8
81,mma,8
82,yenilgisiz,8
83,ikinci,7
84,karşısında,7
85,galibiyete,7
86,ulaşıyor,7
87,başladı,7
88,carlos,7
89,akşam,7
90,gelen,7
91,diego,7
92,nerds,7
93,ufcde,7
94,mauricio,7
95,ufcnin,7
96,aleksandre,7
97,yılında,7
98,chimaev,7
99,isim,7
100,maçta,7
