temiz_metin,duygu_sinifi,duygu_skoru
"Asist Analiz Asist Analiz @asistanaliz · Beşiktaş Başkanı Serdal Adalı, taraftarlara üçlü çektirdi. 0:05 / 0:22 AA SPOR AA SPOR AA SPOR 1 1 1 19 19 19 4 B 4 B 4 B",positive,0.6049684286117554
Asist Analiz Asist Analiz @asistanaliz · Paul Scholes'un turnuva çeyrek finaldeyken yaptığı Şampiyonlar Ligi tahminleri  0:01 / 0:21 11 11 11 6 6 6 293 293 293 160 B 160 B 160 B,NEUTRAL,0.5720411539077759
"Asist Analiz Asist Analiz @asistanaliz · TFF: ""Lig sıralaması ve kupa finalinde alınacak sonuçlar doğrultusunda eşleşmeler aşağıdaki şekilde olacaktır.

Lig şampiyonu ile kupa şampiyonunun aynı takım olması halinde:
Lig şampiyonu ile kupa finalisti,
Lig ikincisi ile lig üçüncüsü,
Lig şampiyonu ile kupa finalistinin aynı Daha fazla göster 1 1 1 5 B 5 B 5 B",negative,0.6966206431388855
"Asist Analiz Asist Analiz @asistanaliz · David Beckham: ""Yani, bence Messi'yle kimseyi karşılaştıramazsınız. Ama Yamal, Messi'ye en yakın oyuncu. Bir gün Lionel Messi kadar iyi olabileceğine inanıyorum."" 2 2 2 3 3 3 223 223 223 9 B 9 B 9 B",positive,0.9936848282814026
"Asist Analiz Asist Analiz @asistanaliz · Manchester United, Casemiro ile San Mames'e gidiyor. 0:58 0:58 TRT Spor TRT Spor TRT Spor 11 11 11 4 B 4 B 4 B",positive,0.815127968788147
"Asist Analiz Asist Analiz @asistanaliz · Arda Güler'in Alex de Souza'ya yanıt paylaşımı:

""Efsane  "" 18 18 18 4 B 4 B 4 B",positive,0.9684665203094482
"Asist Analiz Asist Analiz @asistanaliz · Mason Mount, Athletic Bilbao'nun ikramını geri çevirmiyor. TRT Spor TRT Spor TRT Spor 22 22 22 8 B 8 B 8 B",positive,0.9777966141700745
Asist Analiz Asist Analiz @asistanaliz · Mason Mount'tan R2+  geliyor. TRT Spor TRT Spor TRT Spor 17 17 17 5 B 5 B 5 B,positive,0.9233280420303345
Asist Analiz Asist Analiz @asistanaliz · Dorgu 'Al da at' dedi. Garnacho atamadı. 0:46 0:45 TRT Spor TRT Spor TRT Spor 5 5 5 6 B 6 B 6 B,positive,0.772519052028656
Asist Analiz Asist Analiz @asistanaliz · Tottenham Solanke ile finalin kapısını aralıyor. 0:45 0:45 TRT Spor TRT Spor TRT Spor 1 1 1 4 B 4 B 4 B,positive,0.896603524684906
