Sira,Kelime,Frekans
1,asist,432
2,analiz,432
3,spor,267
4,trt,252
5,geldi,22
6,sportscenter,21
7,çok,21
8,trabzonspor,17
9,agüero,14
10,manchester,12
11,city,12
12,ultras,12
13,bodø,12
14,bayern,12
15,fatih,10
16,için,10
17,yagüe,9
18,münchen,9
19,league,9
20,lig,8
21,kızı,8
22,kupa,7
23,erdal,6
24,hoş,6
25,arda,6
26,saeid,6
27,majiqu,6
28,basketball,6
29,champions,6
30,şampiyonu,5
31,harika,5
32,transfer,5
33,ismail,4
34,kartal,4
35,basketbol,4
36,yusuf,3
37,yazıcı,3
38,dönemi,3
39,uefa,3
40,europa,3
41,futebol,3
42,cristiano,3
43,arazinin,2
44,tahsisi,2
45,babam,2
46,galatasaray,2
47,efsane,2
48,gerçekten,2
49,beni,2
50,ilk,2
51,atmosfer,2
52,oyuncular,2
53,büyük,2
54,biliyorum,2
55,fifa,2
56,koç,2
