temiz_metin,duygu_sinifi,duygu_skoru
"Baklava 😉

Tebrikler @Fenerbahce  👏🏻👏🏻👏🏻",positive,0.9988194108009338
📍Gabar https://t.co/MHCuK0dwUd,positive,0.9646055102348328
"RT @Akparti: Bir genç var; yüreğiyle geleceği görüyor…
Bir ülke var; böyle gençlerle büyüyor…
Zülal ve onun gibi azmiyle, aklıyla, ilhamıyl…",positive,0.9974672794342041
"RT @RTErdogan: 2024-2025 Süper Lig Şampiyonu olan Galatasaray futbol takımını, teknik heyetini ve tüm @GalatasaraySK camiasını yürekten teb…",positive,0.9624300599098206
"RT @RTErdogan: Sağlık, bizden önce milletimizin en fazla şikâyet ettiği alanlardan biriydi.

Sağlam girenin hasta çıktığı o yapıyı değiştir…",negative,0.797143280506134
RT @RTErdogan: İstanbul’u modern sağlık tesisleriyle donatmaya devam ediyoruz. https://t.co/TiZ1ZgndkS,positive,0.9952423572540283
"Anlaşılan CHP, her kademede Ekrem İmamoğlu'na benzemeye başlamış...",negative,0.9933760762214661
"RT @gundem7x24: NATO Genel Sekreteri Rutte:

Cumhurbaşkanı Erdoğan NATO içinde inanılmaz bir lider ve meslektaşları tarafından gerçekten sa…",positive,0.9924945831298828
"RT @RTErdogan: Bizim, başta ülkemizde ve bölgemizde olmak üzere küresel ölçekte barıştan, huzurdan, demokrasi, güvenlik ve istikrardan başk…",positive,0.992976725101471
RT @CMShehbaz: Sevgili kardeşim Cumhurbaşkanı Recep Tayyip Erdoğan'ın Pakistan'a olan güçlü desteği ve sarsılmaz dayanışması beni derinden…,positive,0.9655051231384277
"Türkiye Cumhuriyeti, Aziz Şehitlerimizin ve gazilerimizin büyük fedakarlıkları, devletimizin kararlı mücadelesiyle 40 yıldır ayağına bağ olan terör belasını geride bırakarak yeni bir döneme yelken açıyor.

Cumhuriyetimizin ikinci yüzyılında ""Terörsüz Türkiye"" hedefi ülkemiz ve",positive,0.8776813745498657
"Bakanımızın dikkatine getirdiğiniz için teşekkürler.

Vatandaşlarımızın bizleri düşündüğünü belli etmesi mutluluk verici...",negative,0.7533892393112183
"RT @gundem7x24: Emine Erdoğan, Mattia Ahmet Minguzzi’nin annesi Yasemin Minguzzi ile Anneler Günü etkinliğinde bir araya geldi. https://t.c…",positive,0.8620874881744385
"RT @YucelArzen: ZALİME BOYUN EĞMEYEN
ASLA KÖLE OLMAYACAK

Hür Nesiller Yetiştiren Hür Annelerin 
Anneler Günü Kutlu Olsun
❤️🌸 https://t.co/…",positive,0.9981485605239868
"RT @ahmetcinpendik: Mattia Ahmet Minguzzi evladımızın adını verdiğimiz spor kompleksimizin açılışını hep birlikte gerçekleştirdik.

Ahmet y…",negative,0.8969215154647827
"RT @gundem7x24: AK Parti Kadın Kolları’nın düzenlediği Anne ile Güçlü Aile, Aileyle Güçlü Türkiye programında konuşan Cumhurbaşkanı Erdoğan…",positive,0.9853674173355103
"RT @eafyoncu: Fatih Sultan Mehmed’e aslı astarı olmayan gömlekler giydirilir. En son seküler dendi. Bunlar tarihi gerçeklerle örtüşmeyen, u…",negative,0.9983526468276978
RT @gundem7x24: Ali Mahir Başarır’ın CHP’nin Beyazıt Mitingi’nde elektriklerin bilerek kesildiği iddiası bölgedeki elektrik dağıtım şirketi…,negative,0.9614769816398621
RT @gundemedairhs: Adana'da yaklaşık 2 hafta önce yağan yağmurda göle dönen alt geçidin suyu Adana Büyükşehir Belediyesi tarafından çekilme…,negative,0.770262598991394
RT @gundemedairhs: İzmir'de Konak Belediyesi işçilerinin greve gitmesiyle cadde ve sokaklarda çöp yığınları oluştu. https://t.co/fCOe9oymzr,negative,0.9987969398498535
CHP ve avanelerinin istikrarlı şekilde yapabildikleri tek bir şey var: yalan söylemek.,negative,0.9914121627807617
"Özgür Özel bu sefer, metrekareye 37 değil 26 kişi sığdırdığını iddia etmiş. 

Yavaş yavaş gerçek sayıya ulaşacaksın, ha gayret! @eczozgurozel https://t.co/yJ8kPhYpim",negative,0.9201833009719849
"RT @nonregemesse: In AD 988, six thousand Rus warriors entered the service of the Roman Empire and formed one of the most legendary elite u…",positive,0.9563894867897034
RT @birddetectiveTR: Bugün Milleyha Kuş Cenneti ve kumsalının mutlak koruma ve sit alanı haline getirilmesi için Hataylı ve Ankaralı millet…,positive,0.5529817938804626
