temiz_metin,duygu_sinifi,duygu_skoru
"Hayatlarını Türkiye’nin bağımsızlığına armağan eden; Deniz Gezmiş, Yusuf Aslan ve Hüseyin İnan'ı, idam edilişlerinin 53’üncü yılında mezarları başında andık. 

İnandıkları değerlere, tam bağımsızlık hayallerine, “özgür Filistin” davalarına ortağız.

Sevgi ve özlemle anıyorum.",negative,0.6792163252830505
Özgür Özel Özgür Özel @eczozgurozel · 20 20 20 32 32 32 314 314 314 37 B 37 B 37 B,negative,0.88079434633255
Ekrem İmamoğlu'ndan açıklama:,NEUTRAL,0.5686032176017761
Bolu Kartalkaya'da yangın faciasının yaşandığı otelin önündeyiz https:// MYGNMMjXpOKw …,negative,0.9255505204200745
Beşiktaş Belediyemizin önündeyiz https:// LyGBgnAkNoJN …,positive,0.8994914889335632
İstanbul Saraçhane'deyiz,positive,0.9692137241363525
Bu akşam Mehmet Akif Ersoy’un sunduğu Özel Röportaj programının canlı yayın konuğu olacağım. 15 Mayıs Perşembe 20.00 HaberTürk TV,positive,0.9189757108688354
Aydın Kuşadası Belediyemizin toplu açılış törenini gerçekleştiriyoruz.,negative,0.7589353322982788
Ankara Etimesgut'ta iftar programındayız https://x.com/i/broadcasts/1DXGyqBoddgGM…,positive,0.9455131888389587
Yarın sabah İlker Karagöz ile Çalar Saat programının canlı yayın konuğu olacağım. 13 Mayıs Salı 09.00 Now TV,NEUTRAL,0.5867277383804321
"Değerli İstanbullular,

İstanbul Büyükşehir Belediyemiz ve İlçe Belediyelerimiz tüm ekipleriyle sahada İstanbulluların yanında. Birçok farklı noktada ücretsiz ikramlarla, İBB ve ilçe belediyelerimizin sabaha kadar açık olan tesisleri ile yanınızdayız. Belediyelere",positive,0.965370237827301
"Tarladaki buğdaydan sofradaki ekmeğe uzanan her lokmada bir çiftçinin alın teri, emeği, sabrı var.  Ama ne yazık ki, emeğinin karşılığını alamayan, mazotu, gübresi, tohumu ateş pahası olan çiftçiler bu topraklarda her geçen gün yalnız bırakılıyor.

Biz bu düzeni değiştirmeye,",negative,0.9947840571403503
Ankara’da 19 Mayıs Yarı Maratonu ve Halk Koşusundayız.,NEUTRAL,0.5923323035240173
"Ya Adalet, Ya Sefalet!
#1Mayıs",negative,0.8910844922065735
Beşiktaş Belediyemiz önündeyiz https:// mrGmMyjoYNGy …,positive,0.8678325414657593
Silivri Cezaevi'nde Cumhurbaşkanı adayımız Ekrem İmamoğlu'nu ziyaretimin ardından açıklama yapıyorum https:// YqxoowkYkBxv …,negative,0.8066821694374084
Adıyaman Bahçecik Mahallesi'nde Deprem Şehitliği'ni ziyaret ediyoruz https://x.com/i/broadcasts/1ynJOlEgobWxR…,positive,0.9826880097389221
"Dün meydanların sesini duyuran muhalif televizyon kanallarına RTÜK muhtırası verdikleri yetmiyormuş gibi, bugün de BTK üzerinden X platformundaki yüzlerce hesaba erişim engeli talep edip sosyal medyayı bastırmaya çalışıyorlar.

Kabullen artık Tayyip Bey, milletin sesini",positive,0.7716270685195923
Erzincan'da yurttaşlarımızla buluşuyoruz https:// YqxooMqepjxv …,positive,0.960720419883728
