Sira,Kelime,Frekans
1,şeker,18
2,oranında,12
3,süt,11
4,aroma,10
5,takip,10
6,cappy,10
7,yağı,8
8,nohut,8
9,tarafından,8
10,ürün,8
11,a101,8
12,çilek,8
13,yerli,6
14,çay,6
15,vericisi,6
16,yeni,6
17,tamek,6
18,gıda,6
19,bergamot,6
20,karadeniz,6
21,yapay,6
22,tarihi,6
23,kuru,6
24,limon,4
25,tereyağ,4
26,ayrıca,4
27,çayın,4
28,ithal,4
29,domuz,4
30,eti,4
31,tespiti,4
32,ege,4
33,baharatlı,4
34,ton,4
35,kaşar,4
36,tanker,4
37,margarin,4
38,fiyatı,4
39,sarımsağın,4
40,avlanan,4
41,tespit,4
42,restoranın,4
43,pastörize,4
44,gum,4
45,ayranlar,4
46,hindi,4
47,protein,4
48,tüketim,4
49,yaklaşan,4
50,kahve,4
51,videoda,4
52,ürünlerin,4
53,türkiye,4
54,dondurma,4
55,organik,4
56,incir,4
57,nugget,4
58,dana,3
59,yeşil,3
60,tek,3
61,vegan,3
62,kekik,2
63,domates,2
64,sözde,2
65,nescafe,2
66,satışa,2
67,karpuz,2
68,beyan,2
69,evreni,2
70,merak,2
71,ediyoruz,2
72,dondurulmuş,2
73,kıyma,2
74,ürünleri,2
75,imha,2
76,yönelik,2
77,bütün,2
78,fındıklı,2
79,fındık,2
80,denetle,2
81,çiğ,2
82,köfte,2
83,çaylı,2
84,antep,2
85,röportaj,2
86,adam,2
87,içinden,2
88,carte,2
89,dor,2
90,zam,2
91,haber,2
92,yulaf,2
93,içeriğinde,2
94,yer,2
95,bulunuyor,2
96,küp,2
97,grlık,2
98,drfatih,2
99,alagöz,2
100,meyve,2
