temiz_metin,duygu_sinifi,duygu_skoru
"Kızılay tarafından üretilerek satışa sunulan şekersiz limonata içeriğinde %10 oranında limon suyu konsantresi ile doğal limon aroma vericisi bulunuyor.
Ürün ayrıca çeşitli katkı maddeleri ve tatlandırıcı olarak Asesülfam Potasyum ve Sukraloz içeriyor.
https://gidadedektifi.com/status/2331",negative,0.9734230041503906
"Tereyağlı ifadesi ve tereyağ görselleriyle satılan Superfresh markalı milföy hamurunda %1 tereyağ bulunuyor.
Ürün içeriğinde tereyağdan daha yüksek oranda açıkça yapay aroma vericiler ile palm, pamuk ve kanola yağlarını içeren margarin yer alıyor.
https://gidadedektifi.com/status/2342",negative,0.9965686798095703
"Ayrıca ""Geleneksel Karadeniz"" ismiyle satışa sunulan ve yerli çay algısı yapan bu çayın yerli ve ithal çay karışımı olduğunu belirtelim.
Ayrıca üründeki yerli çay oranının bilinmediğini ve ithal çayın menşe ülkesinin beyan edilmediğini söyleyelim. @Dogadan_Cay @TCTarim",negative,0.9982282519340515
"Ambalajında kekik ve domates görselleriyle dikkat çeken Knorr Çabuk Makarna Napoliten Soslu çeşidini inceleyeceğiz.
Ürün %6,5 oranında domates tozu ve %0,01 yani onbinde 1 oranında kekik içeriyor. Üründe ayrıca içeriği bilinmeyen aroma vericiler bulunuyor.",negative,0.9949923157691956
"Gurumen markasıyla 200 gr'lık paketlerde satışa sunulan Amerikan Salatası içeriğinde;
Mayonez aroma vericisi,
Hardal aroma vericisi,
Sarımsak aroma vericisi ile çeşitli katkı maddeleri bulunuyor. Üründe ayrıca renklendirici olarak beta karoten yer alıyor. https://",negative,0.8757205605506897
"Uzman görünümlü hesapların palm yağı övme yarışına yurtdışından bir yapı dahil oldu. Gıda Dedektifi yöneticisi Musa Özsoy arka planda yaşananları ve size algı yapan sözde hurafe avcılarını mercek altına aldı.
Ava giderken, avlanan bu sözde uzmanlara dikkat edin.",negative,0.9844909310340881
"Tarım ve Orman Bakanlığı İzmir'in Menderes ilçesinde faaliyet gösteren işletmelerde fide denetimi yaptı.
Denetimler çerçevesinde yapılan kontrollerde bakteriyel belirti taşıyan 307 bin kapya biber tespit edildi. Biberlerin imha görüntüleri kamuoyuyla paylaşıldı.
@TCTarim",negative,0.8693566918373108
"Birkaç gündür bazı haber siteleri ve hatta ulusal TV'ler bakanlığın sanki yeni bir domuz eti tespiti var gibi algı yapıyor.
Tarım ve Orman Bakanlığı'nın yeni bir domuz eti tespiti yok. Size 2 yıllık süreçte yayınlanan ifşaları yeni bir habermiş gibi sunanlara inanmayın.
@TCTarim",negative,0.9628757238388062
"Maç izlerken palm yağı ve türevleri ile aroma arttırıcı katkı maddeleri içeren cipsleri tüketmek zorunda değilsiniz.
Züber Noutos Ege Baharatlı Nohut Cipsi içeriğinde;
%59 oranında nohut unu,
%7 oranında Ege baharatlı çeşni,
Ayçiçek yağı,
Zeytinyağı ve tuz var. #Sponsorluİçerik",negative,0.7763664126396179
"Unilever tarafından ülkemizde üretilerek dondurma görünümünde satışa sunulan bitkisel yağlı sütlü buz ürünlerinden birini inceleyeceğiz: Carte D’or Selection Meyve Şöleni.
Ürün 60 gr'lık tek porsiyonda 17 gr ilave şeker yani yaklaşık 8 küp şeker içeriyor.",negative,0.8876261115074158
"Sakarya’nın Pamukova ilçesinde merdiven altı bir tesiste sağlıksız şartlarda üretildiği tespit edilen 5 ton kaşar peyniri ele geçirildi.
Tarım Orman İl Müdürlüğü ile jandarmanın düzenlediği operasyonda 5 ton sahte kaşar peynirine el konulduğu açıklandı. https://",negative,0.9915526509284973
"Tarım ve Orman Bakanlığı tarafından yayınlanan taklit ve tağşiş listesinde güncelleme yapıldı.
Afyonkarahisar'da üretim yapan Ertürk Et firması tarafından üretilen ısıl işlem görmüş dana sucuk ürününde kanatlı eti ve soya tespit edildiği açıklandı.
https://gidadedektifi.com/status/2327",negative,0.996785044670105
