Sira,Kelime,Frekans
1,aroma,34
2,tarafından,33
3,ürün,30
4,https,30
5,gıda,30
6,yer,26
7,satışa,25
8,içeriğinde,23
9,oranında,23
10,httpsgidadedektificomstatus,23
11,bulunuyor,22
12,markasıyla,20
13,sunulan,19
14,palm,18
15,yani,18
16,yağı,18
17,şeker,18
18,satılan,17
19,vericisi,16
20,içeriyor,16
21,alıyor,16
22,tctarim,16
23,inceleyeceğiz,15
24,üründe,15
25,süt,15
26,tarihi,15
27,yapay,14
28,orman,14
29,tespit,14
30,tek,14
31,tüketim,14
32,ayrıca,13
33,vericiler,13
34,dedektifi,13
35,son,13
36,katkı,12
37,tarım,12
38,edilen,12
39,cappy,12
40,içeriği,11
41,mobil,11
42,takip,11
43,maddeleri,10
44,çay,10
45,eti,10
46,bitkisel,10
47,küp,10
48,üretilerek,9
49,markalı,9
50,ithal,9
51,ilçesinde,9
52,yeni,9
53,sütlü,9
54,ilave,9
55,yaklaşık,9
56,mağazasında,9
57,uygulamasına,9
58,gönderilen,9
59,şikayette,9
60,ifadeleri,9
61,karadeniz,8
62,bilinmeyen,8
63,grlık,8
64,faaliyet,8
65,gösteren,8
66,yapılan,8
67,nohut,8
68,dondurma,8
69,üretilen,8
70,tamek,8
71,geçmiş,8
72,çilek,8
73,içeren,7
74,margarin,7
75,ismiyle,7
76,yapan,7
77,dikkat,7
78,bakanlığı,7
79,edildi,7
80,arttırıcı,7
81,meyve,7
82,edildiği,7
83,görülüyor,7
84,değil,7
85,ürünler,7
86,indirimli,7
87,çeşitli,6
88,yüksek,6
89,yerli,6
90,beyan,6
91,imha,6
92,baharatlı,6
93,ton,6
94,fiyatı,6
95,ürününü,6
96,ürünün,6
97,ürünü,6
98,canavarı,6
99,ürünlerin,6
100,bergamot,6
