Sira,Kelime,Frekans
1,aroma,34
2,tarafından,33
3,ürün,30
4,gıda,30
5,yer,26
6,satışa,25
7,içeriğinde,23
8,oranında,23
9,httpsgidadedektificomstatus,23
10,bulunuyor,22
11,markasıyla,20
12,sunulan,19
13,palm,18
14,yani,18
15,yağı,18
16,şeker,18
17,satılan,17
18,vericisi,16
19,içeriyor,16
20,alıyor,16
21,tctarim,16
22,inceleyeceğiz,15
23,üründe,15
24,süt,15
25,tarihi,15
26,yapay,14
27,orman,14
28,tespit,14
29,tek,14
30,tüketim,14
31,ayrıca,13
32,vericiler,13
33,dedektifi,13
34,son,13
35,katkı,12
36,tarım,12
37,edilen,12
38,cappy,12
39,içeriği,11
40,mobil,11
41,takip,11
42,maddeleri,10
43,çay,10
44,eti,10
45,bitkisel,10
46,küp,10
47,üretilerek,9
48,markalı,9
49,ithal,9
50,ilçesinde,9
51,yeni,9
52,sütlü,9
53,ilave,9
54,yaklaşık,9
55,mağazasında,9
56,uygulamasına,9
57,gönderilen,9
58,şikayette,9
59,ifadeleri,9
60,karadeniz,8
61,bilinmeyen,8
62,grlık,8
63,faaliyet,8
64,gösteren,8
65,yapılan,8
66,nohut,8
67,dondurma,8
68,üretilen,8
69,tamek,8
70,geçmiş,8
71,çilek,8
72,içeren,7
73,margarin,7
74,ismiyle,7
75,yapan,7
76,dikkat,7
77,bakanlığı,7
78,edildi,7
79,arttırıcı,7
80,meyve,7
81,edildiği,7
82,görülüyor,7
83,değil,7
84,ürünler,7
85,indirimli,7
86,çeşitli,6
87,yüksek,6
88,yerli,6
89,beyan,6
90,imha,6
91,baharatlı,6
92,ton,6
93,fiyatı,6
94,ürününü,6
95,ürünün,6
96,ürünü,6
97,canavarı,6
98,ürünlerin,6
99,bergamot,6
100,türkiye,6
