Sira,Kelime,Frekans
1,chp,7
2,gundemx,6
3,rterdogan,5
4,genel,5
5,cumhurbaşkanı,4
6,olsun,4
7,özgür,4
8,başkanı,4
9,erdoğan,3
10,güçlü,3
11,türkiye,3
12,ahmet,3
13,the,3
14,imza,3
15,geçmiş,3
16,akparti,2
17,sağlık,2
18,devam,2
19,nato,2
20,tarafından,2
21,gerçekten,2
22,mattia,2
23,minguzzi,2
24,anneler,2
25,günü,2
26,geldi,2
27,hür,2
28,parti,2
29,aile,2
30,chp’nin,2
31,gundemedairhs,2
32,yaklaşık,2
33,belediyesi,2
34,yalan,2
35,kişi,2
36,iddia,2
37,yavaş,2
38,eczozgurozel,2
39,yapılan,2
40,özel’e,2
41,kıbrıs,2
42,mitingini,2
43,baklava,1
44,tebrikler,1
45,fenerbahce,1
46,👏🏻👏🏻👏🏻,1
47,📍gabar,1
48,httpstcomhcukdwud,1
49,genç,1
50,yüreğiyle,1
51,geleceği,1
52,görüyor…,1
53,ülke,1
54,böyle,1
55,gençlerle,1
56,büyüyor…,1
57,zülal,1
58,onun,1
59,azmiyle,1
60,aklıyla,1
61,ilhamıyl…,1
62,süper,1
63,lig,1
64,şampiyonu,1
65,galatasaray,1
66,futbol,1
67,takımını,1
68,teknik,1
69,heyetini,1
70,galatasaraysk,1
71,camiasını,1
72,yürekten,1
73,teb…,1
74,bizden,1
75,milletimizin,1
76,fazla,1
77,şikâyet,1
78,ettiği,1
79,alanlardan,1
80,biriydi,1
81,sağlam,1
82,girenin,1
83,hasta,1
84,çıktığı,1
85,yapıyı,1
86,değiştir…,1
87,i̇stanbul’u,1
88,modern,1
89,tesisleriyle,1
90,donatmaya,1
91,ediyoruz,1
92,httpstcotizzgndks,1
93,anlaşılan,1
94,kademede,1
95,ekrem,1
96,i̇mamoğluna,1
97,benzemeye,1
98,başlamış,1
99,sekreteri,1
100,rutte,1
